Ticket_ID,Name,Gender,City_From,City_To,Price
14-6771991,Beckford,F,Moscow,Moscow,$9.22
79-6392945,Widdup,F,Stavropol,Stavropol,$8.93
42-3480760,Figin,M,Moscow,Moscow,$11.52
20-8557506,Ary,M,Moscow,Moscow,$8.75
28-5109815,Hamstead,F,Voronezh,Voronezh,$8.78
80-7185984,Prujean,M,Moscow,Stavropol,$9.32
19-9111276,Jindracek,F,Rostov-on-Don,Voronezh,$5.85
68-0657293,Jennaway,F,Stavropol,Stavropol,$11.42
12-4593454,Stenett,M,Moscow,Rostov-on-Don,$5.32
12-7802455,Cowe,F,Voronezh,Moscow,$14.32
64-1421321,Quarrell,F,Stavropol,Voronezh,$11.69
14-9713070,Braybrookes,M,Moscow,Moscow,$8.88
86-3287036,Moreinis,F,Voronezh,Moscow,$12.20
14-7079783,Hudspeth,F,Voronezh,Voronezh,$12.11
87-3772714,Stothard,F,Rostov-on-Don,Moscow,$12.33
08-2446083,Bodman,F,Moscow,Rostov-on-Don,$13.90
34-9444311,Szwandt,M,Stavropol,Voronezh,$8.31
31-7332996,Flintoffe,M,Rostov-on-Don,Rostov-on-Don,$9.14
26-9473001,Gater,M,Stavropol,Moscow,$11.54
91-0792440,Spinello,M,Moscow,Rostov-on-Don,$13.62
41-8226075,Newsome,M,Voronezh,Rostov-on-Don,$14.78
23-7413146,Gaiter,F,Stavropol,Voronezh,$14.03
57-6944456,Schwaiger,F,Stavropol,Rostov-on-Don,$5.77
41-6922999,Cranstoun,M,Voronezh,Stavropol,$10.77
06-6967415,Titta,F,Voronezh,Rostov-on-Don,$5.78
90-7492264,Pinnere,M,Rostov-on-Don,Stavropol,$8.66
17-0863159,Fellgate,F,Voronezh,Moscow,$14.52
72-6078992,Blanchard,F,Stavropol,Stavropol,$5.56
49-1165361,Swinglehurst,M,Stavropol,Rostov-on-Don,$12.27
50-7171771,Kellert,F,Stavropol,Voronezh,$7.85
17-7394939,Jandl,F,Stavropol,Stavropol,$10.23
19-7016215,Brouard,F,Stavropol,Voronezh,$12.29
21-1631095,Hargroves,F,Voronezh,Voronezh,$11.03
56-7428801,Bedingfield,M,Rostov-on-Don,Rostov-on-Don,$10.18
33-7671108,Mabbott,M,Moscow,Voronezh,$7.69
96-6339663,Snoddon,M,Stavropol,Rostov-on-Don,$13.35
30-7524748,Hutley,F,Voronezh,Moscow,$10.52
28-8647460,Hacquard,M,Voronezh,Stavropol,$11.81
49-4128299,Haug,F,Rostov-on-Don,Rostov-on-Don,$5.35
96-9931389,MacCome,F,Moscow,Rostov-on-Don,$5.70
24-6213363,Botting,M,Moscow,Voronezh,$8.26
66-9128078,Lamp,F,Rostov-on-Don,Moscow,$12.06
51-3199261,Rizzolo,M,Rostov-on-Don,Voronezh,$7.04
26-6147477,Desborough,F,Rostov-on-Don,Stavropol,$14.86
13-7222146,Juniper,F,Stavropol,Stavropol,$5.99
54-1100038,Mankor,M,Rostov-on-Don,Moscow,$13.05
06-3552534,Titherington,F,Moscow,Moscow,$12.32
38-6084982,Hightown,M,Moscow,Moscow,$10.73
37-2668071,Archbell,M,Moscow,Moscow,$8.29
50-2325005,Crix,F,Rostov-on-Don,Rostov-on-Don,$6.56
21-0463463,Le Blond,F,Voronezh,Voronezh,$13.81
24-5046805,Delleschi,M,Moscow,Stavropol,$13.00
21-2239147,Atling,M,Rostov-on-Don,Rostov-on-Don,$6.50
38-2068780,Gleeton,M,Rostov-on-Don,Stavropol,$8.85
15-2047707,Hook,F,Moscow,Moscow,$10.76
64-0162282,Levane,F,Voronezh,Stavropol,$11.45
43-1043664,Gloves,M,Rostov-on-Don,Moscow,$10.54
10-9751391,Penlington,F,Voronezh,Rostov-on-Don,$6.11
17-7562938,Ganforth,M,Voronezh,Stavropol,$9.51
60-7895988,Pugsley,F,Rostov-on-Don,Moscow,$11.00
22-5965349,Duddy,F,Moscow,Voronezh,$11.69
98-5904755,Pottie,F,Moscow,Stavropol,$7.52
09-6411985,Abrashkov,F,Moscow,Rostov-on-Don,$11.91
67-2117819,Barbrook,M,Rostov-on-Don,Rostov-on-Don,$8.21
16-5246192,Weond,F,Voronezh,Stavropol,$10.14
72-2168095,Eagle,M,Voronezh,Voronezh,$10.27
32-7203350,Calvey,M,Moscow,Stavropol,$14.49
72-9362028,Bleasdale,F,Stavropol,Voronezh,$11.34
41-8656699,Sheering,M,Voronezh,Rostov-on-Don,$7.88
86-4408657,Caveney,F,Rostov-on-Don,Voronezh,$12.31
14-8152384,Files,M,Moscow,Stavropol,$13.49
88-8310863,Lorait,F,Voronezh,Moscow,$5.09
82-3007788,Duchart,M,Moscow,Voronezh,$13.00
58-3511086,Portail,M,Rostov-on-Don,Voronezh,$11.03
92-2380790,Creighton,F,Stavropol,Rostov-on-Don,$13.06
74-7076971,Richardsson,M,Voronezh,Rostov-on-Don,$13.16
18-6760617,Phippard,F,Stavropol,Voronezh,$13.24
79-1528542,Lorriman,F,Voronezh,Rostov-on-Don,$7.42
94-4357369,McHale,M,Moscow,Stavropol,$5.33
26-2033354,Vagg,F,Moscow,Voronezh,$12.24
30-0649072,Gilley,F,Stavropol,Stavropol,$9.57
80-7652732,Enticknap,F,Moscow,Rostov-on-Don,$14.89
13-3153048,Kelberer,F,Stavropol,Moscow,$5.97
96-0000014,Borris,M,Voronezh,Stavropol,$7.13
24-9640775,Napper,M,Moscow,Stavropol,$10.31
94-1532170,Brimley,F,Moscow,Stavropol,$5.17
09-8156553,Gristock,F,Moscow,Stavropol,$5.12
96-2162971,Beange,M,Moscow,Rostov-on-Don,$9.90
75-0222505,Wahner,F,Stavropol,Moscow,$7.80
99-4256747,Brugemann,F,Moscow,Voronezh,$14.10
98-6301435,Melburg,F,Stavropol,Rostov-on-Don,$5.22
90-2286221,Jelly,F,Rostov-on-Don,Voronezh,$12.65
63-0467178,Rodway,F,Rostov-on-Don,Moscow,$12.49
54-9593691,Eaglesham,M,Moscow,Voronezh,$13.22
51-6732768,Thoday,F,Voronezh,Stavropol,$7.17
13-2559322,Grix,F,Moscow,Stavropol,$5.86
09-5395393,Dashkov,M,Moscow,Moscow,$13.33
